part_name,category,relative_path,status,geometry_hash,near_duplicate_key,duplicate_group,near_duplicate_group,size_x_mm,size_y_mm,size_z_mm,volume_mm3,notes
mini_pc_placeholder_airflow_guide,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_airflow_guide.stl,ok,2c0f592f83c91680c1f732de7cfe0c0ee3c6ff8a9af47f3289cd48b2b8c3212a,"(28.0, 130.0, 145.0, 21840.0)",,,145.000,130.000,28.000,21840.000,
mini_pc_placeholder_retainer,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_retainer.stl,ok,8a2ec31513fcbfa8b12660459885e098d6acca6c248cf191f814be48de36333d,"(10.0, 93.60000000000001, 139.0, 5616.0)",,,93.600,139.000,10.000,5616.000,
mini_pc_placeholder_tray,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/mini_pc_placeholder_tray.stl,ok,7d2c3cb2a9a56f87e9fd8f39be4d524578a009f6cb76e5934219f2badb0aa7e0,"(4.0, 190.0, 190.0, 110178.0)",,,190.000,190.000,4.000,110178.250,
rail_end_mount,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rail_end_mount.stl,ok,4a48917bf86529c270c47d70a8f56fb81b91a058db0ea5a962f5fc322c781bee,"(12.0, 18.0, 20.0, 3212.0)",,,18.000,12.000,20.000,3212.147,
rpi_mount_posts,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rpi_mount_posts.stl,ok,b9f30ea2ce424827299f77ed4968419f93edce0bd7a2877792fc9722cbc34d2c,"(7.0, 55.5, 84.5, 756.0)",,,84.500,55.500,7.000,756.010,
rpi_ssd_tray,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/rpi_ssd_tray.stl,ok,5be04c0bd29f099b8f7ed2231b6515f3e16218c8ae71efb8f730b54f12788b87,"(4.0, 190.0, 190.0, 73874.0)",,,190.000,190.000,4.000,73874.400,
ssd_retainer,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/ssd_retainer.stl,ok,c0d41d82cb35ee71de84e990cdb374d84be7d1e9091ab21ec22a2d0a19c0886c,"(8.0, 50.0, 84.0, 2400.0)",,,84.000,50.000,8.000,2400.000,
tray_support_ledge,legacy_do_not_print,exports/mk0.9.3/legacy_do_not_print/tray_support_ledge.stl,ok,46b5b8975bffaa9bd880de7349e4a26987f3a3273f2920f04b933ff8ff8d8a1c,"(4.0, 14.0, 22.0, 1191.0)",,,22.000,14.000,4.000,1190.597,
base_module,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/base_module.stl,ok,ff91a5ca783d3ed05779d516a0e54eff55066be7c347b873a9cb4a52e8492a14,"(58.0, 190.0, 190.0, 196633.0)",,,190.000,190.000,58.000,196633.201,
mini_pc_placeholder_module,printed/plastic_modules,exports/mk0.9.3/printed/plastic_modules/mini_pc_placeholder_module.stl,ok,88e77643173325d636402017bdd0922b75aec26c44ad4dff9836c1113df88d5a,"(88.80000000000001, 191.0, 192.5, 197970.0)",,,191.000,192.500,88.800,197969.953,
