part_name,category,relative_path,status,triangle_count,is_watertight,is_manifold,boundary_edges,nonmanifold_edges,notes
m5_threaded_rod,non_printable/metal_reference,exports/mk0.7.1/non_printable/metal_reference/m5_threaded_rod.stl,ok,332,True,True,0,0,
metal_guide_rail,non_printable/metal_reference,exports/mk0.7.1/non_printable/metal_reference/metal_guide_rail.stl,ok,1372,True,True,0,0,
mikrotik_placeholder,placeholders/devices,exports/mk0.7.1/placeholders/devices/mikrotik_placeholder.stl,ok,28,True,True,0,0,
mini_pc_placeholder,placeholders/devices,exports/mk0.7.1/placeholders/devices/mini_pc_placeholder.stl,ok,28,True,True,0,0,
power_bus_zone_placeholder,placeholders/devices,exports/mk0.7.1/placeholders/devices/power_bus_zone_placeholder.stl,ok,28,True,True,0,0,
raspberry_pi_3b_placeholder,placeholders/devices,exports/mk0.7.1/placeholders/devices/raspberry_pi_3b_placeholder.stl,ok,1412,True,True,0,0,
ssd_expansion_placeholder,placeholders/devices,exports/mk0.7.1/placeholders/devices/ssd_expansion_placeholder.stl,ok,28,True,True,0,0,
ssd_placeholder,placeholders/devices,exports/mk0.7.1/placeholders/devices/ssd_placeholder.stl,ok,28,True,True,0,0,
ups_placeholder,placeholders/devices,exports/mk0.7.1/placeholders/devices/ups_placeholder.stl,ok,28,True,True,0,0,
fan_120x120x25_placeholder,placeholders/fans,exports/mk0.7.1/placeholders/fans/fan_120x120x25_placeholder.stl,ok,2903,False,False,1,1,open boundary or nonmanifold edge detected
bottom_fan_cartridge,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_fan_cartridge.stl,ok,3104,True,True,0,0,
bottom_fan_grille,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_fan_grille.stl,ok,2796,True,True,0,0,
bottom_filter_frame,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_filter_frame.stl,ok,352,True,True,0,0,
bottom_filter_retainer,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_filter_retainer.stl,ok,32,True,True,0,0,
bottom_structural_frame,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_structural_frame.stl,ok,3088,True,True,0,0,
central_bottom_fan_frame,printable/plastic,exports/mk0.7.1/printable/plastic/central_bottom_fan_frame.stl,ok,3248,True,True,0,0,
corner_block,printable/plastic,exports/mk0.7.1/printable/plastic/corner_block.stl,ok,1818,True,True,0,0,
external_ssd_bay,printable/plastic,exports/mk0.7.1/printable/plastic/external_ssd_bay.stl,ok,8582,True,True,0,0,
foot_socket,printable/plastic,exports/mk0.7.1/printable/plastic/foot_socket.stl,ok,1008,True,True,0,0,
front_stability_wing,printable/plastic,exports/mk0.7.1/printable/plastic/front_stability_wing.stl,ok,1388,True,True,0,0,
left_foot_extension,printable/plastic,exports/mk0.7.1/printable/plastic/left_foot_extension.stl,ok,1388,True,True,0,0,
left_side_panel_lower,printable/plastic,exports/mk0.7.1/printable/plastic/left_side_panel_lower.stl,ok,7928,True,True,0,0,
left_side_panel_middle,printable/plastic,exports/mk0.7.1/printable/plastic/left_side_panel_middle.stl,ok,7220,True,True,0,0,
left_side_panel_upper,printable/plastic,exports/mk0.7.1/printable/plastic/left_side_panel_upper.stl,ok,2300,True,True,0,0,
mikrotik_tray,printable/plastic,exports/mk0.7.1/printable/plastic/mikrotik_tray.stl,ok,8438,True,True,0,0,
mini_pc_airflow_duct,printable/plastic,exports/mk0.7.1/printable/plastic/mini_pc_airflow_duct.stl,ok,136,True,True,0,0,
mini_pc_tray,printable/plastic,exports/mk0.7.1/printable/plastic/mini_pc_tray.stl,ok,8964,True,True,0,0,
mini_pc_tray_stop,printable/plastic,exports/mk0.7.1/printable/plastic/mini_pc_tray_stop.stl,ok,692,True,True,0,0,
power_bus_cover,printable/plastic,exports/mk0.7.1/printable/plastic/power_bus_cover.stl,ok,2764,True,True,0,0,
power_bus_panel,printable/plastic,exports/mk0.7.1/printable/plastic/power_bus_panel.stl,ok,3904,True,True,0,0,
raspberry_pi_tray,printable/plastic,exports/mk0.7.1/printable/plastic/raspberry_pi_tray.stl,ok,8418,True,True,0,0,
rear_service_spine,printable/plastic,exports/mk0.7.1/printable/plastic/rear_service_spine.stl,ok,8352,True,True,0,0,
rear_service_spine_cover,printable/plastic,exports/mk0.7.1/printable/plastic/rear_service_spine_cover.stl,ok,2408,True,True,0,0,
rear_stability_wing,printable/plastic,exports/mk0.7.1/printable/plastic/rear_stability_wing.stl,ok,1388,True,True,0,0,
right_foot_extension,printable/plastic,exports/mk0.7.1/printable/plastic/right_foot_extension.stl,ok,1388,True,True,0,0,
right_side_panel_lower,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_lower.stl,ok,7928,True,True,0,0,
right_side_panel_middle,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_middle.stl,ok,7220,True,True,0,0,
right_side_panel_upper,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_upper.stl,ok,2300,True,True,0,0,
ssd_expansion_tray,printable/plastic,exports/mk0.7.1/printable/plastic/ssd_expansion_tray.stl,ok,8406,True,True,0,0,
top_fan_grille,printable/plastic,exports/mk0.7.1/printable/plastic/top_fan_grille.stl,ok,2732,True,True,0,0,
top_structural_frame,printable/plastic,exports/mk0.7.1/printable/plastic/top_structural_frame.stl,ok,3088,True,True,0,0,
ups_power_tray,printable/plastic,exports/mk0.7.1/printable/plastic/ups_power_tray.stl,ok,11586,True,True,0,0,
foot,printable/tpu,exports/mk0.7.1/printable/tpu/foot.stl,ok,1008,True,True,0,0,
airflow_path_review,review,exports/mk0.7.1/review/airflow_path_review.stl,ok,4356,False,False,4,4,open boundary or nonmanifold edge detected
blocked_air_zones_review,review,exports/mk0.7.1/review/blocked_air_zones_review.stl,ok,48,True,True,0,0,
bottom_intake_open_area_review,review,exports/mk0.7.1/review/bottom_intake_open_area_review.stl,ok,668,True,True,0,0,
