part_name,category,relative_path,status,mesh_volume_mm3,mesh_volume_cm3,petg_density_g_cm3,pla_density_g_cm3,estimated_petg_mass_g,estimated_pla_mass_g,notes
mini_pc_tray,printable/plastic,exports/mk0.7/printable/plastic/mini_pc_tray.stl,ok,186990.503,186.991,1.27,1.24,237.478,231.868,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
mini_pc_tray_stop,printable/plastic,exports/mk0.7/printable/plastic/mini_pc_tray_stop.stl,ok,1162.157,1.162,1.27,1.24,1.476,1.441,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
power_bus_cover,printable/plastic,exports/mk0.7/printable/plastic/power_bus_cover.stl,ok,33365.922,33.366,1.27,1.24,42.375,41.374,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
power_bus_panel,printable/plastic,exports/mk0.7/printable/plastic/power_bus_panel.stl,ok,39316.972,39.317,1.27,1.24,49.933,48.753,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
raspberry_pi_tray,printable/plastic,exports/mk0.7/printable/plastic/raspberry_pi_tray.stl,ok,129491.177,129.491,1.27,1.24,164.454,160.569,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine,printable/plastic,exports/mk0.7/printable/plastic/rear_service_spine.stl,ok,164685.196,164.685,1.27,1.24,209.150,204.210,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine_cover,printable/plastic,exports/mk0.7/printable/plastic/rear_service_spine_cover.stl,ok,40210.275,40.210,1.27,1.24,51.067,49.861,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_stability_wing,printable/plastic,exports/mk0.7/printable/plastic/rear_stability_wing.stl,ok,116957.170,116.957,1.27,1.24,148.536,145.027,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_foot_extension,printable/plastic,exports/mk0.7/printable/plastic/right_foot_extension.stl,ok,79257.170,79.257,1.27,1.24,100.657,98.279,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_lower,printable/plastic,exports/mk0.7/printable/plastic/right_side_panel_lower.stl,ok,88794.171,88.794,1.27,1.24,112.769,110.105,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_middle,printable/plastic,exports/mk0.7/printable/plastic/right_side_panel_middle.stl,ok,63143.834,63.144,1.27,1.24,80.193,78.298,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_upper,printable/plastic,exports/mk0.7/printable/plastic/right_side_panel_upper.stl,ok,93620.808,93.621,1.27,1.24,118.898,116.090,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
ssd_expansion_tray,printable/plastic,exports/mk0.7/printable/plastic/ssd_expansion_tray.stl,ok,131215.177,131.215,1.27,1.24,166.643,162.707,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
top_fan_grille,printable/plastic,exports/mk0.7/printable/plastic/top_fan_grille.stl,ok,109040.596,109.041,1.27,1.24,138.482,135.210,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
top_structural_frame,printable/plastic,exports/mk0.7/printable/plastic/top_structural_frame.stl,ok,84693.424,84.693,1.27,1.24,107.561,105.020,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
ups_power_tray,printable/plastic,exports/mk0.7/printable/plastic/ups_power_tray.stl,ok,153916.037,153.916,1.27,1.24,195.473,190.856,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
