part_name,category,relative_path,status,geometry_hash,near_duplicate_key,duplicate_group,near_duplicate_group,size_x_mm,size_y_mm,size_z_mm,volume_mm3,notes
power_bus_cover,printable/plastic,exports/mk0.7/printable/plastic/power_bus_cover.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
power_bus_panel,printable/plastic,exports/mk0.7/printable/plastic/power_bus_panel.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
raspberry_pi_tray,printable/plastic,exports/mk0.7/printable/plastic/raspberry_pi_tray.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
rear_service_spine,printable/plastic,exports/mk0.7/printable/plastic/rear_service_spine.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
rear_service_spine_cover,printable/plastic,exports/mk0.7/printable/plastic/rear_service_spine_cover.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
rear_stability_wing,printable/plastic,exports/mk0.7/printable/plastic/rear_stability_wing.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
right_foot_extension,printable/plastic,exports/mk0.7/printable/plastic/right_foot_extension.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
right_side_panel_lower,printable/plastic,exports/mk0.7/printable/plastic/right_side_panel_lower.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
right_side_panel_middle,printable/plastic,exports/mk0.7/printable/plastic/right_side_panel_middle.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
right_side_panel_upper,printable/plastic,exports/mk0.7/printable/plastic/right_side_panel_upper.stl,error,,,,,,,,,AttributeError: module 'cad.config' has no attribute 'DUPLICATE_VOLUME_TOLERANCE_MM'
