part_name,category,relative_path,status,mesh_volume_mm3,mesh_volume_cm3,petg_density_g_cm3,pla_density_g_cm3,estimated_petg_mass_g,estimated_pla_mass_g,notes
bottom_fan_cartridge,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_fan_cartridge.stl,ok,88577.861,88.578,1.27,1.24,112.494,109.837,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
bottom_fan_grille,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_fan_grille.stl,ok,84260.127,84.260,1.27,1.24,107.010,104.483,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
bottom_filter_frame,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_filter_frame.stl,ok,27603.450,27.603,1.27,1.24,35.056,34.228,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
bottom_filter_retainer,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_filter_retainer.stl,ok,18432.000,18.432,1.27,1.24,23.409,22.856,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
bottom_structural_frame,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_structural_frame.stl,ok,84439.392,84.439,1.27,1.24,107.238,104.705,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
central_bottom_fan_frame,printable/plastic,exports/mk0.7.4/printable/plastic/central_bottom_fan_frame.stl,ok,121857.533,121.858,1.27,1.24,154.759,151.103,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
corner_block,printable/plastic,exports/mk0.7.4/printable/plastic/corner_block.stl,ok,14990.402,14.990,1.27,1.24,19.038,18.588,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
external_ssd_bay,printable/plastic,exports/mk0.7.4/printable/plastic/external_ssd_bay.stl,ok,109027.148,109.027,1.27,1.24,138.464,135.194,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
foot_socket,printable/plastic,exports/mk0.7.4/printable/plastic/foot_socket.stl,ok,3035.612,3.036,1.27,1.24,3.855,3.764,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
front_stability_wing,printable/plastic,exports/mk0.7.4/printable/plastic/front_stability_wing.stl,ok,58478.585,58.479,1.27,1.24,74.268,72.513,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
