part_name,category,relative_path,status,mesh_volume_mm3,mesh_volume_cm3,petg_density_g_cm3,pla_density_g_cm3,estimated_petg_mass_g,estimated_pla_mass_g,notes
left_foot_extension,printable/plastic,exports/mk0.7.4/printable/plastic/left_foot_extension.stl,ok,39628.585,39.629,1.27,1.24,50.328,49.139,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
left_side_panel_lower,printable/plastic,exports/mk0.7.4/printable/plastic/left_side_panel_lower.stl,ok,82825.044,82.825,1.27,1.24,105.188,102.703,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
left_side_panel_middle,printable/plastic,exports/mk0.7.4/printable/plastic/left_side_panel_middle.stl,ok,60417.742,60.418,1.27,1.24,76.731,74.918,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
left_side_panel_upper,printable/plastic,exports/mk0.7.4/printable/plastic/left_side_panel_upper.stl,ok,87651.680,87.652,1.27,1.24,111.318,108.688,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
m5_threaded_rod_cap,printable/plastic,exports/mk0.7.4/printable/plastic/m5_threaded_rod_cap.stl,ok,707.078,0.707,1.27,1.24,0.898,0.877,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
mikrotik_tray,printable/plastic,exports/mk0.7.4/printable/plastic/mikrotik_tray.stl,ok,120418.142,120.418,1.27,1.24,152.931,149.318,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
mini_pc_airflow_duct,printable/plastic,exports/mk0.7.4/printable/plastic/mini_pc_airflow_duct.stl,ok,64252.160,64.252,1.27,1.24,81.600,79.673,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
mini_pc_tray,printable/plastic,exports/mk0.7.4/printable/plastic/mini_pc_tray.stl,ok,170447.642,170.448,1.27,1.24,216.469,211.355,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
mini_pc_tray_stop,printable/plastic,exports/mk0.7.4/printable/plastic/mini_pc_tray_stop.stl,ok,1054.157,1.054,1.27,1.24,1.339,1.307,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
power_bus_cover_lower,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_cover_lower.stl,ok,18487.477,18.487,1.27,1.24,23.479,22.924,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
power_bus_cover_upper,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_cover_upper.stl,ok,20595.320,20.595,1.27,1.24,26.156,25.538,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
power_bus_panel_lower,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_panel_lower.stl,ok,21600.541,21.601,1.27,1.24,27.433,26.785,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
power_bus_panel_upper,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_panel_upper.stl,ok,23171.064,23.171,1.27,1.24,29.427,28.732,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rail_end_mount,printable/plastic,exports/mk0.7.4/printable/plastic/rail_end_mount.stl,ok,3212.147,3.212,1.27,1.24,4.079,3.983,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
raspberry_pi_tray,printable/plastic,exports/mk0.7.4/printable/plastic/raspberry_pi_tray.stl,ok,112776.742,112.777,1.27,1.24,143.226,139.843,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine_cover_lower,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_cover_lower.stl,ok,21945.332,21.945,1.27,1.24,27.871,27.212,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine_cover_upper,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_cover_upper.stl,ok,24053.187,24.053,1.27,1.24,30.548,29.826,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine_lower,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_lower.stl,ok,80212.229,80.212,1.27,1.24,101.870,99.463,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine_upper,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_upper.stl,ok,76892.033,76.892,1.27,1.24,97.653,95.346,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_stability_wing,printable/plastic,exports/mk0.7.4/printable/plastic/rear_stability_wing.stl,ok,58478.585,58.479,1.27,1.24,74.268,72.513,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_foot_extension,printable/plastic,exports/mk0.7.4/printable/plastic/right_foot_extension.stl,ok,39628.585,39.629,1.27,1.24,50.328,49.139,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_lower,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_lower.stl,ok,82825.044,82.825,1.27,1.24,105.188,102.703,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_middle,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_middle.stl,ok,60417.742,60.418,1.27,1.24,76.731,74.918,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_upper,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_upper.stl,ok,87651.680,87.652,1.27,1.24,111.318,108.688,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
side_panel_mount_rail_lower,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_lower.stl,ok,9356.040,9.356,1.27,1.24,11.882,11.601,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
side_panel_mount_rail_middle,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_middle.stl,ok,9356.040,9.356,1.27,1.24,11.882,11.601,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
side_panel_mount_rail_upper,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_upper.stl,ok,9356.040,9.356,1.27,1.24,11.882,11.601,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
ssd_expansion_tray,printable/plastic,exports/mk0.7.4/printable/plastic/ssd_expansion_tray.stl,ok,114500.742,114.501,1.27,1.24,145.416,141.981,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
top_fan_grille,printable/plastic,exports/mk0.7.4/printable/plastic/top_fan_grille.stl,ok,81780.447,81.780,1.27,1.24,103.861,101.408,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
top_structural_frame,printable/plastic,exports/mk0.7.4/printable/plastic/top_structural_frame.stl,ok,84439.392,84.439,1.27,1.24,107.238,104.705,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
tray_support_ledge,printable/plastic,exports/mk0.7.4/printable/plastic/tray_support_ledge.stl,ok,1190.597,1.191,1.27,1.24,1.512,1.476,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
ups_power_tray,printable/plastic,exports/mk0.7.4/printable/plastic/ups_power_tray.stl,ok,137345.589,137.346,1.27,1.24,174.429,170.309,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
