part_name,category,relative_path,status,triangle_count,is_watertight,is_manifold,boundary_edges,nonmanifold_edges,notes
m5_threaded_rod,non_printable/metal_reference,exports/mk0.7.4/non_printable/metal_reference/m5_threaded_rod.stl,ok,332,True,True,0,0,
metal_guide_rail,non_printable/metal_reference,exports/mk0.7.4/non_printable/metal_reference/metal_guide_rail.stl,ok,1372,True,True,0,0,
mikrotik_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/mikrotik_placeholder.stl,ok,28,True,True,0,0,
mini_pc_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/mini_pc_placeholder.stl,ok,28,True,True,0,0,
power_bus_zone_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/power_bus_zone_placeholder.stl,ok,28,True,True,0,0,
raspberry_pi_3b_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/raspberry_pi_3b_placeholder.stl,ok,1412,True,True,0,0,
ssd_expansion_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/ssd_expansion_placeholder.stl,ok,28,True,True,0,0,
ssd_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/ssd_placeholder.stl,ok,28,True,True,0,0,
ups_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/ups_placeholder.stl,ok,28,True,True,0,0,
fan_120x120x25_placeholder,placeholders/fans,exports/mk0.7.4/placeholders/fans/fan_120x120x25_placeholder.stl,ok,2903,False,False,1,1,open boundary or nonmanifold edge detected
coupon_bottom_filter_retainer,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_bottom_filter_retainer.stl,ok,124,True,True,0,0,
coupon_fan_grille_section,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_fan_grille_section.stl,ok,708,True,True,0,0,
coupon_flat_petg_tile,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_flat_petg_tile.stl,ok,12,True,True,0,0,
coupon_petg_foot_socket,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_petg_foot_socket.stl,ok,1020,True,True,0,0,
coupon_rail_end_mount_fit,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_rail_end_mount_fit.stl,ok,1512,True,True,0,0,
coupon_side_panel_mount,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_side_panel_mount.stl,ok,376,True,True,0,0,
coupon_split_joint_tab_socket,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_split_joint_tab_socket.stl,ok,1768,True,True,0,0,
coupon_tray_ledge_stack,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_tray_ledge_stack.stl,ok,404,True,True,0,0,
coupon_tpu_foot,printable/coupons_tpu,exports/mk0.7.4/printable/coupons_tpu/coupon_tpu_foot.stl,ok,1008,True,True,0,0,
bottom_fan_cartridge,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_fan_cartridge.stl,ok,3136,True,True,0,0,
bottom_fan_grille,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_fan_grille.stl,ok,2796,True,True,0,0,
bottom_filter_frame,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_filter_frame.stl,ok,352,True,True,0,0,
bottom_filter_retainer,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_filter_retainer.stl,ok,64,True,True,0,0,
bottom_structural_frame,printable/plastic,exports/mk0.7.4/printable/plastic/bottom_structural_frame.stl,ok,4460,True,True,0,0,
central_bottom_fan_frame,printable/plastic,exports/mk0.7.4/printable/plastic/central_bottom_fan_frame.stl,ok,3252,True,True,0,0,
corner_block,printable/plastic,exports/mk0.7.4/printable/plastic/corner_block.stl,ok,1816,True,True,0,0,
external_ssd_bay,printable/plastic,exports/mk0.7.4/printable/plastic/external_ssd_bay.stl,ok,8642,True,True,0,0,
foot_socket,printable/plastic,exports/mk0.7.4/printable/plastic/foot_socket.stl,ok,1008,True,True,0,0,
front_stability_wing,printable/plastic,exports/mk0.7.4/printable/plastic/front_stability_wing.stl,ok,1388,True,True,0,0,
left_foot_extension,printable/plastic,exports/mk0.7.4/printable/plastic/left_foot_extension.stl,ok,1388,True,True,0,0,
left_side_panel_lower,printable/plastic,exports/mk0.7.4/printable/plastic/left_side_panel_lower.stl,ok,7928,True,True,0,0,
left_side_panel_middle,printable/plastic,exports/mk0.7.4/printable/plastic/left_side_panel_middle.stl,ok,7220,True,True,0,0,
left_side_panel_upper,printable/plastic,exports/mk0.7.4/printable/plastic/left_side_panel_upper.stl,ok,2300,True,True,0,0,
m5_threaded_rod_cap,printable/plastic,exports/mk0.7.4/printable/plastic/m5_threaded_rod_cap.stl,ok,672,True,True,0,0,
mikrotik_tray,printable/plastic,exports/mk0.7.4/printable/plastic/mikrotik_tray.stl,ok,8486,True,True,0,0,
mini_pc_airflow_duct,printable/plastic,exports/mk0.7.4/printable/plastic/mini_pc_airflow_duct.stl,ok,136,True,True,0,0,
mini_pc_tray,printable/plastic,exports/mk0.7.4/printable/plastic/mini_pc_tray.stl,ok,9012,True,True,0,0,
mini_pc_tray_stop,printable/plastic,exports/mk0.7.4/printable/plastic/mini_pc_tray_stop.stl,ok,692,True,True,0,0,
power_bus_cover_lower,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_cover_lower.stl,ok,2544,True,True,0,0,
power_bus_cover_upper,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_cover_upper.stl,ok,2560,True,True,0,0,
power_bus_panel_lower,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_panel_lower.stl,ok,2580,True,True,0,0,
power_bus_panel_upper,printable/plastic,exports/mk0.7.4/printable/plastic/power_bus_panel_upper.stl,ok,3648,True,True,0,0,
rail_end_mount,printable/plastic,exports/mk0.7.4/printable/plastic/rail_end_mount.stl,ok,1488,True,True,0,0,
raspberry_pi_tray,printable/plastic,exports/mk0.7.4/printable/plastic/raspberry_pi_tray.stl,ok,8466,True,True,0,0,
rear_service_spine_cover_lower,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_cover_lower.stl,ok,1984,True,True,0,0,
rear_service_spine_cover_upper,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_cover_upper.stl,ok,2440,True,True,0,0,
rear_service_spine_lower,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_lower.stl,ok,5076,True,True,0,0,
rear_service_spine_upper,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_upper.stl,ok,5998,True,True,0,0,
rear_stability_wing,printable/plastic,exports/mk0.7.4/printable/plastic/rear_stability_wing.stl,ok,1388,True,True,0,0,
right_foot_extension,printable/plastic,exports/mk0.7.4/printable/plastic/right_foot_extension.stl,ok,1388,True,True,0,0,
right_side_panel_lower,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_lower.stl,ok,7928,True,True,0,0,
right_side_panel_middle,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_middle.stl,ok,7220,True,True,0,0,
right_side_panel_upper,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_upper.stl,ok,2300,True,True,0,0,
side_panel_mount_rail_lower,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_lower.stl,ok,708,True,True,0,0,
side_panel_mount_rail_middle,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_middle.stl,ok,708,True,True,0,0,
side_panel_mount_rail_upper,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_upper.stl,ok,708,True,True,0,0,
ssd_expansion_tray,printable/plastic,exports/mk0.7.4/printable/plastic/ssd_expansion_tray.stl,ok,8454,True,True,0,0,
top_fan_grille,printable/plastic,exports/mk0.7.4/printable/plastic/top_fan_grille.stl,ok,2732,True,True,0,0,
top_structural_frame,printable/plastic,exports/mk0.7.4/printable/plastic/top_structural_frame.stl,ok,4460,True,True,0,0,
tray_support_ledge,printable/plastic,exports/mk0.7.4/printable/plastic/tray_support_ledge.stl,ok,368,True,True,0,0,
ups_power_tray,printable/plastic,exports/mk0.7.4/printable/plastic/ups_power_tray.stl,ok,11642,True,True,0,0,
foot,printable/tpu,exports/mk0.7.4/printable/tpu/foot.stl,ok,1008,True,True,0,0,
airflow_path_review,review,exports/mk0.7.4/review/airflow_path_review.stl,ok,4356,False,False,4,4,open boundary or nonmanifold edge detected
