part_name,category,relative_path,status,geometry_hash,near_duplicate_key,duplicate_group,near_duplicate_group,size_x_mm,size_y_mm,size_z_mm,volume_mm3,notes
m5_threaded_rod,non_printable/metal_reference,exports/mk0.7.4/non_printable/metal_reference/m5_threaded_rod.stl,ok,aeabcb29d6e9cdb6df10b772a7e5bfcdd258d9d572ed2a015e13317621626de4,"(5.0, 5.0, 339.5, 6660.0)",,,5.000,5.000,339.500,6659.853,
metal_guide_rail,non_printable/metal_reference,exports/mk0.7.4/non_printable/metal_reference/metal_guide_rail.stl,ok,cd61d2df86855ab66ed472527657d971cb28598d9f7fbae48325cfd2e8b2598c,"(3.0, 10.0, 287.5, 8516.0)",,,10.000,3.000,287.500,8516.151,
mikrotik_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/mikrotik_placeholder.stl,ok,3b28249bde2acd299f34c399db2339864e864362ce7eacf407bfdd7ebd471bcc,"(14.0, 95.0, 120.0, 159582.0)",,,120.000,95.000,14.000,159582.080,
mini_pc_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/mini_pc_placeholder.stl,ok,49641b1a8dd13411af1caa1436c176dfba8eb7f6914e80008d27363ce2aa0739,"(28.0, 130.0, 145.0, 527764.0)",,,145.000,130.000,28.000,527764.160,
power_bus_zone_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/power_bus_zone_placeholder.stl,ok,713a3beda99b132635ad8ad4db0d4df3a9b0107bd8e054f6bedbecc03ce84a23,"(4.0, 34.0, 275.5, 37115.0)",,,34.000,4.000,275.500,37115.360,
raspberry_pi_3b_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/raspberry_pi_3b_placeholder.stl,ok,3931eb8b053e7ba4475e77382074c494ca27e3eeaf0aec757abbf2360ff4d45b,"(16.6, 85.0, 86.0, 98326.0)",,,85.000,86.000,16.600,98325.975,
ssd_expansion_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/ssd_expansion_placeholder.stl,ok,ccb0ccd41445c9ea61ca5d8a229ff8f0ddb4c44dbe5dfcd14b4e44cf6c5087bf,"(6.0, 70.0, 110.0, 46192.0)",,,110.000,70.000,6.000,46192.320,
ssd_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/ssd_placeholder.stl,ok,5c64e4f869b7ffbb64ea0eec576c3d5dccc1434b6133ba0ba3276c8cf8030f4f,"(16.0, 38.0, 75.0, 45580.0)",,,75.000,38.000,16.000,45579.520,
ups_placeholder,placeholders/devices,exports/mk0.7.4/placeholders/devices/ups_placeholder.stl,ok,f3efb1eaf442c494b516ad9d5a9037b1a18fe2c8c5735966039753429d8d2b1f,"(32.0, 55.0, 125.0, 219959.0)",,,125.000,55.000,32.000,219959.040,
fan_120x120x25_placeholder,placeholders/fans,exports/mk0.7.4/placeholders/fans/fan_120x120x25_placeholder.stl,ok,233678fc9347df5b07edd970ca679f253a03701025916f19b4ef0fa5c8db104d,"(43.0, 120.0, 120.0, 147658.0)",,,120.000,120.000,43.000,147657.860,
coupon_bottom_filter_retainer,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_bottom_filter_retainer.stl,ok,d98d733e9897e6e766861584420054cfabe65c6eaf085b2a2ce39d3f51a4e350,"(9.0, 72.0, 72.0, 11509.0)",,,72.000,72.000,9.000,11508.862,
coupon_fan_grille_section,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_fan_grille_section.stl,ok,586a83836534649f27535d8824c82ccc5943a786da165b5511efd3bfb37cc266,"(3.0, 72.0, 72.0, 15459.0)",,,72.000,72.000,3.000,15458.693,
coupon_flat_petg_tile,printable/coupons_petg,exports/mk0.7.4/printable/coupons_petg/coupon_flat_petg_tile.stl,ok,baf3b2f9100915ac28eea3e3168d6292825ad4626f925d6f26d9d208595e2a4d,"(3.0, 50.0, 50.0, 7500.0)",,,50.000,50.000,3.000,7500.000,
