part_name,category,relative_path,status,size_x_mm,size_y_mm,size_z_mm,print_volume_x_mm,print_volume_y_mm,print_volume_z_mm,fits_axis_aligned,long_thin_risk,max_aspect_ratio,notes
rear_service_spine_cover_lower,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_cover_lower.stl,ok,46.000,6.000,156.750,256.000,256.000,256.000,True,False,26.125,
rear_service_spine_cover_upper,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_cover_upper.stl,ok,46.000,10.400,158.750,256.000,256.000,256.000,True,False,15.264,
rear_service_spine_lower,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_lower.stl,ok,132.000,40.500,157.750,256.000,256.000,256.000,True,False,3.895,
rear_service_spine_upper,printable/plastic,exports/mk0.7.4/printable/plastic/rear_service_spine_upper.stl,ok,136.000,44.900,159.750,256.000,256.000,256.000,True,False,3.558,
rear_stability_wing,printable/plastic,exports/mk0.7.4/printable/plastic/rear_stability_wing.stl,ok,250.000,47.000,10.000,256.000,256.000,256.000,True,False,25.000,
right_foot_extension,printable/plastic,exports/mk0.7.4/printable/plastic/right_foot_extension.stl,ok,42.000,190.000,10.000,256.000,256.000,256.000,True,False,19.000,
right_side_panel_lower,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_lower.stl,ok,176.000,13.000,100.900,256.000,256.000,256.000,True,False,13.538,
right_side_panel_middle,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_middle.stl,ok,176.000,5.200,100.900,256.000,256.000,256.000,True,False,33.846,
right_side_panel_upper,printable/plastic,exports/mk0.7.4/printable/plastic/right_side_panel_upper.stl,ok,176.000,13.000,100.900,256.000,256.000,256.000,True,False,13.538,
side_panel_mount_rail_lower,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_lower.stl,ok,8.000,12.000,100.900,256.000,256.000,256.000,True,False,12.613,
side_panel_mount_rail_middle,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_middle.stl,ok,8.000,12.000,100.900,256.000,256.000,256.000,True,False,12.613,
side_panel_mount_rail_upper,printable/plastic,exports/mk0.7.4/printable/plastic/side_panel_mount_rail_upper.stl,ok,8.000,12.000,100.900,256.000,256.000,256.000,True,False,12.613,
ssd_expansion_tray,printable/plastic,exports/mk0.7.4/printable/plastic/ssd_expansion_tray.stl,ok,172.000,178.700,32.000,256.000,256.000,256.000,True,False,5.584,
top_fan_grille,printable/plastic,exports/mk0.7.4/printable/plastic/top_fan_grille.stl,ok,190.000,190.000,4.000,256.000,256.000,256.000,True,True,47.500,long-thin geometry risk; orientation/support review required
top_structural_frame,printable/plastic,exports/mk0.7.4/printable/plastic/top_structural_frame.stl,ok,190.000,190.000,13.000,256.000,256.000,256.000,True,False,14.615,
tray_support_ledge,printable/plastic,exports/mk0.7.4/printable/plastic/tray_support_ledge.stl,ok,22.000,14.000,4.000,256.000,256.000,256.000,True,False,5.500,
ups_power_tray,printable/plastic,exports/mk0.7.4/printable/plastic/ups_power_tray.stl,ok,186.500,178.700,32.000,256.000,256.000,256.000,True,False,5.828,
foot,printable/tpu,exports/mk0.7.4/printable/tpu/foot.stl,ok,34.000,34.000,32.000,256.000,256.000,256.000,True,False,1.062,
