part_name,category,relative_path,status,geometry_hash,near_duplicate_key,duplicate_group,near_duplicate_group,size_x_mm,size_y_mm,size_z_mm,volume_mm3,notes
mini_pc_placeholder_airflow_guide,legacy,exports/mk0.9.2/legacy/mini_pc_placeholder_airflow_guide.stl,ok,2c0f592f83c91680c1f732de7cfe0c0ee3c6ff8a9af47f3289cd48b2b8c3212a,"(28.0, 130.0, 145.0, 21840.0)",,,145.000,130.000,28.000,21840.000,
mini_pc_placeholder_retainer,legacy,exports/mk0.9.2/legacy/mini_pc_placeholder_retainer.stl,ok,8a2ec31513fcbfa8b12660459885e098d6acca6c248cf191f814be48de36333d,"(10.0, 93.60000000000001, 139.0, 5616.0)",,,93.600,139.000,10.000,5616.000,
mini_pc_placeholder_tray,legacy,exports/mk0.9.2/legacy/mini_pc_placeholder_tray.stl,ok,7d2c3cb2a9a56f87e9fd8f39be4d524578a009f6cb76e5934219f2badb0aa7e0,"(4.0, 190.0, 190.0, 110178.0)",,,190.000,190.000,4.000,110178.250,
rail_end_mount,legacy,exports/mk0.9.2/legacy/rail_end_mount.stl,ok,4a48917bf86529c270c47d70a8f56fb81b91a058db0ea5a962f5fc322c781bee,"(12.0, 18.0, 20.0, 3212.0)",,,18.000,12.000,20.000,3212.147,
rpi_mount_posts,legacy,exports/mk0.9.2/legacy/rpi_mount_posts.stl,ok,b9f30ea2ce424827299f77ed4968419f93edce0bd7a2877792fc9722cbc34d2c,"(7.0, 55.5, 84.5, 756.0)",,,84.500,55.500,7.000,756.010,
rpi_ssd_tray,legacy,exports/mk0.9.2/legacy/rpi_ssd_tray.stl,ok,5be04c0bd29f099b8f7ed2231b6515f3e16218c8ae71efb8f730b54f12788b87,"(4.0, 190.0, 190.0, 73874.0)",,,190.000,190.000,4.000,73874.400,
ssd_retainer,legacy,exports/mk0.9.2/legacy/ssd_retainer.stl,ok,c0d41d82cb35ee71de84e990cdb374d84be7d1e9091ab21ec22a2d0a19c0886c,"(8.0, 50.0, 84.0, 2400.0)",,,84.000,50.000,8.000,2400.000,
tray_support_ledge,legacy,exports/mk0.9.2/legacy/tray_support_ledge.stl,ok,46b5b8975bffaa9bd880de7349e4a26987f3a3273f2920f04b933ff8ff8d8a1c,"(4.0, 14.0, 22.0, 1191.0)",,,22.000,14.000,4.000,1190.597,
aluminum_u_channel_rail_placeholder,non_printable/metal_reference,exports/mk0.9.2/non_printable/metal_reference/aluminum_u_channel_rail_placeholder.stl,ok,df532fc2e1daef8157b277fb1069bda31a4d8a677f3e37ef64393dc624e81483,"(10.0, 15.0, 155.0, 9610.0)",,,15.000,10.000,155.000,9610.000,
m5_threaded_rod,non_printable/metal_reference,exports/mk0.9.2/non_printable/metal_reference/m5_threaded_rod.stl,ok,9d9f9a5550b29916b6eea7ecdebb503f97633827a4bf16fab6db339975a12214,"(5.0, 5.0, 294.0, 5767.0)",,,5.000,5.000,294.000,5767.295,
external_ssd_placeholder,placeholders/devices,exports/mk0.9.2/placeholders/devices/external_ssd_placeholder.stl,ok,5c64e4f869b7ffbb64ea0eec576c3d5dccc1434b6133ba0ba3276c8cf8030f4f,"(16.0, 38.0, 75.0, 45580.0)",,,75.000,38.000,16.000,45579.520,
mini_pc_placeholder,placeholders/devices,exports/mk0.9.2/placeholders/devices/mini_pc_placeholder.stl,ok,6a24fe12d8ba654a69097cb02ce566339868d1774cb563ce8f52f3b0968d183b,"(55.0, 130.0, 130.0, 929430.0)",,,130.000,130.000,55.000,929429.599,
pom_c_shoe_placeholder,placeholders/devices,exports/mk0.9.2/placeholders/devices/pom_c_shoe_placeholder.stl,ok,85b14bec4f6750af0129ef1bec8e4b76ef53da0ae2fae4428a8095a495b75a86,"(8.0, 8.0, 12.0, 603.0)",,,8.000,8.000,12.000,602.623,
raspberry_pi_3b_placeholder,placeholders/devices,exports/mk0.9.2/placeholders/devices/raspberry_pi_3b_placeholder.stl,ok,3931eb8b053e7ba4475e77382074c494ca27e3eeaf0aec757abbf2360ff4d45b,"(16.6, 85.0, 86.0, 98326.0)",,,85.000,86.000,16.600,98325.975,
fan_120x120x25_placeholder,placeholders/fans,exports/mk0.9.2/placeholders/fans/fan_120x120x25_placeholder.stl,ok,233678fc9347df5b07edd970ca679f253a03701025916f19b4ef0fa5c8db104d,"(43.0, 120.0, 120.0, 147658.0)",,,120.000,120.000,43.000,147657.860,
dust_filter_placeholder,placeholders/filters,exports/mk0.9.2/placeholders/filters/dust_filter_placeholder.stl,ok,daabdc10c7edfa13d615a6a9d5d373976b4e66a429199f61003c58477e4b3f9f,"(2.0, 120.0, 130.0, 31197.0)",,,130.000,120.000,2.000,31197.440,
top_guard_filter_mesh_placeholder,placeholders/filters,exports/mk0.9.2/placeholders/filters/top_guard_filter_mesh_placeholder.stl,ok,97bca3b0f1c2107c68fa97c68051b092230e2c5325ac2c488b10f695b744c280,"(2.0, 120.0, 120.0, 28797.0)",,,120.000,120.000,2.000,28797.440,
base_module,printable/plastic,exports/mk0.9.2/printable/plastic/base_module.stl,ok,3e8d8b430cdafd4102edc344b86bcc80e041200e0be52d0873d215113bb00615,"(68.0, 190.0, 190.0, 201031.0)",,,190.000,190.000,68.000,201031.322,
bottom_grill,printable/plastic,exports/mk0.9.2/printable/plastic/bottom_grill.stl,ok,7f96e83adc360dadca1df3caed1e961acef40c6050e401db7a781987664ec32f,"(4.0, 138.0, 138.0, 41011.0)",,,138.000,138.000,4.000,41011.495,
dust_filter_slot,printable/plastic,exports/mk0.9.2/printable/plastic/dust_filter_slot.stl,ok,67bfc530eec53d7319634ce7fe79cba06cd3241cc7dd5ef7a8a41e984a12a3a4,"(2.0, 142.0, 144.0, 7822.0)",,,142.000,144.000,2.000,7821.600,
foot_mounts,printable/plastic,exports/mk0.9.2/printable/plastic/foot_mounts.stl,ok,d8d417f8055262176ea27a78002c862f95183136ab0fb12a065674b6f445e35d,"(4.0, 190.0, 190.0, 5056.0)",,,190.000,190.000,4.000,5055.885,
m5_threaded_rod_cap,printable/plastic,exports/mk0.9.2/printable/plastic/m5_threaded_rod_cap.stl,ok,bf572a8db4864f67a6c966ba31682b6486836b2811674673e772d90986db3164,"(8.0, 12.0, 12.0, 707.0)",,,12.000,12.000,8.000,707.078,
mini_pc_placeholder_carriage,printable/plastic,exports/mk0.9.2/printable/plastic/mini_pc_placeholder_carriage.stl,ok,b9415d2fe7e56dbafd890fad92f0549461bf195529fe250415c13248e5c69870,"(13.200000000000001, 180.0, 183.60000000000002, 37166.0)",,,183.600,180.000,13.200,37166.269,
mini_pc_placeholder_module,printable/plastic,exports/mk0.9.2/printable/plastic/mini_pc_placeholder_module.stl,ok,69163be2cc6b0598d7224af6928e62a87c0d33d913fe2576f73e9246d4a75782,"(89.80000000000001, 191.20000000000002, 193.5, 217576.0)",,,191.200,193.500,89.800,217575.650,
rail_end_clip,printable/plastic,exports/mk0.9.2/printable/plastic/rail_end_clip.stl,ok,427cef734abf1ca283f4aba75a3abe4404b050c21f0bc17b9f959066ca982258,"(8.0, 8.0, 12.0, 574.0)",,,12.000,8.000,8.000,574.111,
roof_module,printable/plastic,exports/mk0.9.2/printable/plastic/roof_module.stl,ok,855cb5f68bada4392c33a26c4bbd49a07bc12b46b0b3ffb780925ab1a577eeee,"(69.0, 190.0, 190.0, 215057.0)",,,190.000,190.000,69.000,215056.839,
rpi_ssd_carriage,printable/plastic,exports/mk0.9.2/printable/plastic/rpi_ssd_carriage.stl,ok,c3307786b3262585797d8a8b031b275aeca88ff880a12437e5edcac6508b1ce9,"(13.200000000000001, 180.0, 183.60000000000002, 30675.0)",,,183.600,180.000,13.200,30674.542,
rpi_ssd_module,printable/plastic,exports/mk0.9.2/printable/plastic/rpi_ssd_module.stl,ok,477d7b7de9f7ca10da94fbbc45ba71029779850d832a01beb3baf743c02a0e17,"(77.80000000000001, 190.0, 191.20000000000002, 203655.0)",,,191.200,190.000,77.800,203654.638,
top_filter_slot,printable/plastic,exports/mk0.9.2/printable/plastic/top_filter_slot.stl,ok,b8cf80c12beb0f7b5bd922e21161dcaa11b36e0a5b5e87e05a30eb8cacf52c5f,"(2.0, 142.0, 142.0, 11528.0)",,,142.000,142.000,2.000,11528.000,
foot,printable/tpu,exports/mk0.9.2/printable/tpu/foot.stl,ok,2df35fcc3af99e83812a7091133fc418a2e66d993318d488b259416f8f8a36cf,"(12.0, 22.0, 22.0, 4045.0)",exact_001,near_001,22.000,22.000,12.000,4044.574,duplicate_group=exact_001; near_duplicate_group=near_001
tpu_foot_placeholder,printable/tpu,exports/mk0.9.2/printable/tpu/tpu_foot_placeholder.stl,ok,2df35fcc3af99e83812a7091133fc418a2e66d993318d488b259416f8f8a36cf,"(12.0, 22.0, 22.0, 4045.0)",exact_001,near_001,22.000,22.000,12.000,4044.574,duplicate_group=exact_001; near_duplicate_group=near_001
airflow_clearance_zone,review,exports/mk0.9.2/review/airflow_clearance_zone.stl,ok,5057ea6d0bd842148a326c93e6f4cf2e998f37a9e130a34e7ba1b0e4fa02d835,"(137.0, 137.0, 276.0, 5180244.0)",,,137.000,137.000,276.000,5180244.000,
central_airflow_channel_placeholder,review,exports/mk0.9.2/review/central_airflow_channel_placeholder.stl,ok,64aea1ff267b00e7f20d69ae3c9a2f52809176175a38b40a5400271592452b10,"(125.0, 125.0, 276.0, 4312500.0)",,,125.000,125.000,276.000,4312500.000,
module_interface_bottom,review,exports/mk0.9.2/review/module_interface_bottom.stl,ok,df8b7f28255b4dd692d438312fc69a4f36ef9652d70f532d21db779517dfccd7,"(4.0, 190.0, 190.0, 62460.0)",exact_002,near_002,190.000,190.000,4.000,62460.000,duplicate_group=exact_002; near_duplicate_group=near_002
module_interface_top,review,exports/mk0.9.2/review/module_interface_top.stl,ok,df8b7f28255b4dd692d438312fc69a4f36ef9652d70f532d21db779517dfccd7,"(4.0, 190.0, 190.0, 62460.0)",exact_002,near_002,190.000,190.000,4.000,62460.000,duplicate_group=exact_002; near_duplicate_group=near_002
simplified_airflow_guide,review,exports/mk0.9.2/review/simplified_airflow_guide.stl,ok,62c9e5ae03bf89e2d6195f6ec9685ed17341e8a8cb2dc9a857f3d15485936a8d,"(10.0, 10.0, 176.0, 5650.0)",,,10.000,10.000,176.000,5649.595,
