part_name,category,relative_path,status,mesh_volume_mm3,mesh_volume_cm3,petg_density_g_cm3,pla_density_g_cm3,estimated_petg_mass_g,estimated_pla_mass_g,notes
raspberry_pi_tray,printable/plastic,exports/mk0.7.1/printable/plastic/raspberry_pi_tray.stl,ok,129953.175,129.953,1.27,1.24,165.041,161.142,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine,printable/plastic,exports/mk0.7.1/printable/plastic/rear_service_spine.stl,ok,164685.196,164.685,1.27,1.24,209.150,204.210,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_service_spine_cover,printable/plastic,exports/mk0.7.1/printable/plastic/rear_service_spine_cover.stl,ok,40210.275,40.210,1.27,1.24,51.067,49.861,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
rear_stability_wing,printable/plastic,exports/mk0.7.1/printable/plastic/rear_stability_wing.stl,ok,116957.170,116.957,1.27,1.24,148.536,145.027,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_foot_extension,printable/plastic,exports/mk0.7.1/printable/plastic/right_foot_extension.stl,ok,79257.170,79.257,1.27,1.24,100.657,98.279,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_lower,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_lower.stl,ok,88794.171,88.794,1.27,1.24,112.769,110.105,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_middle,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_middle.stl,ok,63143.834,63.144,1.27,1.24,80.193,78.298,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
right_side_panel_upper,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_upper.stl,ok,93620.808,93.621,1.27,1.24,118.898,116.090,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
ssd_expansion_tray,printable/plastic,exports/mk0.7.1/printable/plastic/ssd_expansion_tray.stl,ok,131677.175,131.677,1.27,1.24,167.230,163.280,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
top_fan_grille,printable/plastic,exports/mk0.7.1/printable/plastic/top_fan_grille.stl,ok,109040.596,109.041,1.27,1.24,138.482,135.210,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
top_structural_frame,printable/plastic,exports/mk0.7.1/printable/plastic/top_structural_frame.stl,ok,84693.424,84.693,1.27,1.24,107.561,105.020,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
ups_power_tray,printable/plastic,exports/mk0.7.1/printable/plastic/ups_power_tray.stl,ok,154378.035,154.378,1.27,1.24,196.060,191.429,"mesh solid volume only; slicer infill, perimeters, supports and purge are not included"
