part_name,file_type,category,relative_path,status,min_x_mm,min_y_mm,min_z_mm,max_x_mm,max_y_mm,max_z_mm,size_x_mm,size_y_mm,size_z_mm,triangle_count,error
rear_service_spine,stl,printable/plastic,exports/mk0.7.1/printable/plastic/rear_service_spine.stl,ok,-40.000,-17.000,-148.750,40.000,23.000,148.750,80.000,40.000,297.500,8352,
rear_service_spine_cover,stl,printable/plastic,exports/mk0.7.1/printable/plastic/rear_service_spine_cover.stl,ok,-23.000,-1.500,-147.750,23.000,1.500,147.750,46.000,3.000,295.500,2408,
rear_stability_wing,stl,printable/plastic,exports/mk0.7.1/printable/plastic/rear_stability_wing.stl,ok,-125.000,-23.500,-5.000,125.000,23.500,5.000,250.000,47.000,10.000,1388,
right_foot_extension,stl,printable/plastic,exports/mk0.7.1/printable/plastic/right_foot_extension.stl,ok,-21.000,-95.000,-5.000,21.000,95.000,5.000,42.000,190.000,10.000,1388,
right_side_panel_lower,stl,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_lower.stl,ok,-88.000,-1.500,-50.450,88.000,11.500,50.450,176.000,13.000,100.900,7928,
right_side_panel_middle,stl,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_middle.stl,ok,-88.000,-1.500,-50.450,88.000,3.700,50.450,176.000,5.200,100.900,7220,
right_side_panel_upper,stl,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_upper.stl,ok,-88.000,-1.500,-50.450,88.000,11.500,50.450,176.000,13.000,100.900,2300,
ssd_expansion_tray,stl,printable/plastic,exports/mk0.7.1/printable/plastic/ssd_expansion_tray.stl,ok,-86.000,-88.000,-5.000,86.000,90.700,27.000,172.000,178.700,32.000,8406,
top_fan_grille,stl,printable/plastic,exports/mk0.7.1/printable/plastic/top_fan_grille.stl,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,2732,
top_structural_frame,stl,printable/plastic,exports/mk0.7.1/printable/plastic/top_structural_frame.stl,ok,-95.000,-95.000,-3.500,95.000,95.000,9.500,190.000,190.000,13.000,3088,
ups_power_tray,stl,printable/plastic,exports/mk0.7.1/printable/plastic/ups_power_tray.stl,ok,-100.500,-88.000,-5.000,86.000,90.700,27.000,186.500,178.700,32.000,11586,
foot,stl,printable/tpu,exports/mk0.7.1/printable/tpu/foot.stl,ok,-17.000,-17.000,-16.000,17.000,17.000,16.000,34.000,34.000,32.000,1008,
airflow_path_review,stl,review,exports/mk0.7.1/review/airflow_path_review.stl,ok,-45.500,-8.000,35.000,45.500,8.000,364.800,91.000,16.000,329.800,4356,
blocked_air_zones_review,stl,review,exports/mk0.7.1/review/blocked_air_zones_review.stl,ok,-114.500,-8.000,0.000,114.500,95.000,181.750,229.000,103.000,181.750,48,
bottom_intake_open_area_review,stl,review,exports/mk0.7.1/review/bottom_intake_open_area_review.stl,ok,-56.000,-56.000,0.000,56.000,56.000,4.000,112.000,112.000,4.000,668,
mini_pc_airflow_path_review,stl,review,exports/mk0.7.1/review/mini_pc_airflow_path_review.stl,ok,40.000,-48.800,159.180,56.000,6.000,175.180,16.000,54.800,16.000,923,
printability_layout_review,stl,review,exports/mk0.7.1/review/printability_layout_review.stl,ok,-149.000,-148.000,-11.000,149.000,148.000,5.000,298.000,296.000,16.000,8800,
stability_review,stl,review,exports/mk0.7.1/review/stability_review.stl,ok,-125.000,-166.000,-0.600,125.000,130.000,288.000,250.000,296.000,288.600,3576,
assembly,step,assemblies,exports/mk0.7.1/assemblies/assembly.step,ok,-125.000,-130.000,-46.000,125.000,130.000,372.000,250.000,260.000,418.000,,
m5_threaded_rod,step,non_printable/metal_reference,exports/mk0.7.1/non_printable/metal_reference/m5_threaded_rod.step,ok,-2.500,-2.500,0.000,2.500,2.500,321.500,5.000,5.000,321.500,,
metal_guide_rail,step,non_printable/metal_reference,exports/mk0.7.1/non_printable/metal_reference/metal_guide_rail.step,ok,-5.000,-1.500,-143.750,5.000,1.500,143.750,10.000,3.000,287.500,,
mikrotik_placeholder,step,placeholders/devices,exports/mk0.7.1/placeholders/devices/mikrotik_placeholder.step,ok,-60.000,-47.500,-7.000,60.000,47.500,7.000,120.000,95.000,14.000,,
mini_pc_placeholder,step,placeholders/devices,exports/mk0.7.1/placeholders/devices/mini_pc_placeholder.step,ok,-72.500,-65.000,-14.000,72.500,65.000,14.000,145.000,130.000,28.000,,
power_bus_zone_placeholder,step,placeholders/devices,exports/mk0.7.1/placeholders/devices/power_bus_zone_placeholder.step,ok,-17.000,-2.000,-137.750,17.000,2.000,137.750,34.000,4.000,275.500,,
raspberry_pi_3b_placeholder,step,placeholders/devices,exports/mk0.7.1/placeholders/devices/raspberry_pi_3b_placeholder.step,ok,-42.500,-40.000,-0.800,42.500,46.000,15.800,85.000,86.000,16.600,,
ssd_expansion_placeholder,step,placeholders/devices,exports/mk0.7.1/placeholders/devices/ssd_expansion_placeholder.step,ok,-55.000,-35.000,-3.000,55.000,35.000,3.000,110.000,70.000,6.000,,
ssd_placeholder,step,placeholders/devices,exports/mk0.7.1/placeholders/devices/ssd_placeholder.step,ok,-37.500,-19.000,-8.000,37.500,19.000,8.000,75.000,38.000,16.000,,
ups_placeholder,step,placeholders/devices,exports/mk0.7.1/placeholders/devices/ups_placeholder.step,ok,-62.500,-27.500,-16.000,62.500,27.500,16.000,125.000,55.000,32.000,,
fan_120x120x25_placeholder,step,placeholders/fans,exports/mk0.7.1/placeholders/fans/fan_120x120x25_placeholder.step,ok,-60.000,-60.000,-12.500,60.000,60.000,30.500,120.000,120.000,43.000,,
bottom_fan_cartridge,step,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_fan_cartridge.step,ok,-71.000,-77.800,-4.000,71.000,77.800,7.800,142.000,155.600,11.800,,
bottom_fan_grille,step,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_fan_grille.step,ok,-95.000,-95.000,-2.000,95.000,95.000,5.000,190.000,190.000,7.000,,
bottom_filter_frame,step,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_filter_frame.step,ok,-69.000,-69.000,-1.500,69.000,69.000,1.500,138.000,138.000,3.000,,
bottom_filter_retainer,step,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_filter_retainer.step,ok,-72.000,-4.000,-2.000,72.000,4.000,2.000,144.000,8.000,4.000,,
bottom_structural_frame,step,printable/plastic,exports/mk0.7.1/printable/plastic/bottom_structural_frame.step,ok,-95.000,-95.000,-3.500,95.000,95.000,9.500,190.000,190.000,13.000,,
central_bottom_fan_frame,step,printable/plastic,exports/mk0.7.1/printable/plastic/central_bottom_fan_frame.step,ok,-95.000,-95.000,-11.000,95.000,95.000,5.000,190.000,190.000,16.000,,
corner_block,step,printable/plastic,exports/mk0.7.1/printable/plastic/corner_block.step,ok,-12.000,-12.000,-14.000,12.000,12.000,14.000,24.000,24.000,28.000,,
external_ssd_bay,step,printable/plastic,exports/mk0.7.1/printable/plastic/external_ssd_bay.step,ok,-86.000,-88.000,-5.000,86.000,90.700,27.000,172.000,178.700,32.000,,
foot_socket,step,printable/plastic,exports/mk0.7.1/printable/plastic/foot_socket.step,ok,-21.000,-21.000,0.000,21.000,21.000,3.000,42.000,42.000,3.000,,
front_stability_wing,step,printable/plastic,exports/mk0.7.1/printable/plastic/front_stability_wing.step,ok,-125.000,-23.500,-5.000,125.000,23.500,5.000,250.000,47.000,10.000,,
left_foot_extension,step,printable/plastic,exports/mk0.7.1/printable/plastic/left_foot_extension.step,ok,-21.000,-95.000,-5.000,21.000,95.000,5.000,42.000,190.000,10.000,,
left_side_panel_lower,step,printable/plastic,exports/mk0.7.1/printable/plastic/left_side_panel_lower.step,ok,-88.000,-1.500,-50.450,88.000,11.500,50.450,176.000,13.000,100.900,,
left_side_panel_middle,step,printable/plastic,exports/mk0.7.1/printable/plastic/left_side_panel_middle.step,ok,-88.000,-1.500,-50.450,88.000,3.700,50.450,176.000,5.200,100.900,,
left_side_panel_upper,step,printable/plastic,exports/mk0.7.1/printable/plastic/left_side_panel_upper.step,ok,-88.000,-1.500,-50.450,88.000,11.500,50.450,176.000,13.000,100.900,,
mikrotik_tray,step,printable/plastic,exports/mk0.7.1/printable/plastic/mikrotik_tray.step,ok,-86.000,-88.000,-5.000,86.000,90.700,27.000,172.000,178.700,32.000,,
mini_pc_airflow_duct,step,printable/plastic,exports/mk0.7.1/printable/plastic/mini_pc_airflow_duct.step,ok,-44.000,-67.000,-31.000,44.000,67.000,31.000,88.000,134.000,62.000,,
mini_pc_tray,step,printable/plastic,exports/mk0.7.1/printable/plastic/mini_pc_tray.step,ok,-86.000,-88.000,-5.000,86.000,90.700,27.000,172.000,178.700,32.000,,
mini_pc_tray_stop,step,printable/plastic,exports/mk0.7.1/printable/plastic/mini_pc_tray_stop.step,ok,-9.000,-1.500,-8.000,9.000,4.500,14.000,18.000,6.000,22.000,,
power_bus_cover,step,printable/plastic,exports/mk0.7.1/printable/plastic/power_bus_cover.step,ok,-23.000,-3.700,-132.750,23.000,1.300,132.750,46.000,5.000,265.500,,
power_bus_panel,step,printable/plastic,exports/mk0.7.1/printable/plastic/power_bus_panel.step,ok,-17.000,-6.000,-137.750,17.000,1.500,137.750,34.000,7.500,275.500,,
raspberry_pi_tray,step,printable/plastic,exports/mk0.7.1/printable/plastic/raspberry_pi_tray.step,ok,-86.000,-88.000,-5.000,86.000,90.700,27.000,172.000,178.700,32.000,,
rear_service_spine,step,printable/plastic,exports/mk0.7.1/printable/plastic/rear_service_spine.step,ok,-40.000,-17.000,-148.750,40.000,23.000,148.750,80.000,40.000,297.500,,
rear_service_spine_cover,step,printable/plastic,exports/mk0.7.1/printable/plastic/rear_service_spine_cover.step,ok,-23.000,-1.500,-147.750,23.000,1.500,147.750,46.000,3.000,295.500,,
rear_stability_wing,step,printable/plastic,exports/mk0.7.1/printable/plastic/rear_stability_wing.step,ok,-125.000,-23.500,-5.000,125.000,23.500,5.000,250.000,47.000,10.000,,
right_foot_extension,step,printable/plastic,exports/mk0.7.1/printable/plastic/right_foot_extension.step,ok,-21.000,-95.000,-5.000,21.000,95.000,5.000,42.000,190.000,10.000,,
right_side_panel_lower,step,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_lower.step,ok,-88.000,-1.500,-50.450,88.000,11.500,50.450,176.000,13.000,100.900,,
right_side_panel_middle,step,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_middle.step,ok,-88.000,-1.500,-50.450,88.000,3.700,50.450,176.000,5.200,100.900,,
right_side_panel_upper,step,printable/plastic,exports/mk0.7.1/printable/plastic/right_side_panel_upper.step,ok,-88.000,-1.500,-50.450,88.000,11.500,50.450,176.000,13.000,100.900,,
ssd_expansion_tray,step,printable/plastic,exports/mk0.7.1/printable/plastic/ssd_expansion_tray.step,ok,-86.000,-88.000,-5.000,86.000,90.700,27.000,172.000,178.700,32.000,,
top_fan_grille,step,printable/plastic,exports/mk0.7.1/printable/plastic/top_fan_grille.step,ok,-95.000,-95.000,-2.000,95.000,95.000,2.000,190.000,190.000,4.000,,
top_structural_frame,step,printable/plastic,exports/mk0.7.1/printable/plastic/top_structural_frame.step,ok,-95.000,-95.000,-3.500,95.000,95.000,9.500,190.000,190.000,13.000,,
ups_power_tray,step,printable/plastic,exports/mk0.7.1/printable/plastic/ups_power_tray.step,ok,-100.500,-88.000,-5.000,86.000,90.700,27.000,186.500,178.700,32.000,,
foot,step,printable/tpu,exports/mk0.7.1/printable/tpu/foot.step,ok,-17.000,-17.000,-16.000,17.000,17.000,16.000,34.000,34.000,32.000,,
airflow_path_review,step,review,exports/mk0.7.1/review/airflow_path_review.step,ok,-45.500,-8.000,35.000,45.500,8.000,364.800,91.000,16.000,329.800,,
blocked_air_zones_review,step,review,exports/mk0.7.1/review/blocked_air_zones_review.step,ok,-114.500,-8.000,0.000,114.500,95.000,181.750,229.000,103.000,181.750,,
bottom_intake_open_area_review,step,review,exports/mk0.7.1/review/bottom_intake_open_area_review.step,ok,-56.000,-56.000,0.000,56.000,56.000,4.000,112.000,112.000,4.000,,
mini_pc_airflow_path_review,step,review,exports/mk0.7.1/review/mini_pc_airflow_path_review.step,ok,40.000,-48.800,159.180,56.000,6.000,175.180,16.000,54.800,16.000,,
printability_layout_review,step,review,exports/mk0.7.1/review/printability_layout_review.step,ok,-149.000,-148.000,-11.000,149.000,148.000,5.000,298.000,296.000,16.000,,
stability_review,step,review,exports/mk0.7.1/review/stability_review.step,ok,-125.000,-166.000,-0.600,125.000,130.000,288.000,250.000,296.000,288.600,,
